#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|Q9HTK9|RURE_PSEAE -          1                    -           7.5e-250  816.4   4.6  8.4e-250  816.3   4.6   1.0   1   0   0   1   1   1   1 Rubredoxin-NAD(+) reductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=alkT PE=1 SV=1
sp|Q02567|PEM1_PHACH -          10                   -           1.3e-124  402.1   3.7  1.8e-124  401.6   3.7   1.2   1   0   0   1   1   1   1 Manganese peroxidase 1 OS=Phanerodontia chrysosporium OX=2822231 GN=MNP1 PE=1 SV=1
sp|Q02567|PEM1_PHACH -          3                    -           8.7e-233  760.3  11.4  9.7e-233  760.1  11.4   1.0   1   0   0   1   1   1   1 Manganese peroxidase 1 OS=Phanerodontia chrysosporium OX=2822231 GN=MNP1 PE=1 SV=1
sp|Q02567|PEM1_PHACH -          5                    -           8.6e-132  425.4   3.2  1.3e-131  424.9   3.2   1.2   1   0   0   1   1   1   1 Manganese peroxidase 1 OS=Phanerodontia chrysosporium OX=2822231 GN=MNP1 PE=1 SV=1
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /mnt/c/Users/Ze/Desktop/PlastEDMA/resources/Data/HMMs/After_tcoffee_UPI/85-90.hmm
# Target file:     /mnt/c/Users/Ze/Desktop/PlastEDMA/ci/sequences.fasta
# Option settings: hmmsearch --tblout /mnt/c/Users/Ze/Desktop/PlastEDMA/resources/Data/HMMs/HMMsearch_results/search_sequences_85-90.tsv /mnt/c/Users/Ze/Desktop/PlastEDMA/resources/Data/HMMs/After_tcoffee_UPI/85-90.hmm /mnt/c/Users/Ze/Desktop/PlastEDMA/ci/sequences.fasta 
# Current dir:     /home/josepedro
# Date:            Wed Sep 21 15:53:44 2022
# [ok]
